path	trees	sha256	lines	reason	text_hits
Grass/Platform/Win32/CallMemory.lean	main,certificate,frontend,lowering,windows,process	75d1eb99ee3b559a43a897298b5bd4492acd923e5baaa6d4c7b2dc5ffc512b8a	34	semantic-boundary-or-consumer	0
Grass/Platform/Win32/CallResumeBinding.lean	main,certificate,frontend,lowering,windows,process	68d78876c524b3aa63046ec3692cf6428737a5abee71d0edce22eee79c5408eb	93	semantic-boundary-or-consumer	0
Grass/Platform/Win32/CallResumeHistory.lean	main,certificate,frontend,lowering,process	41e0914e142c6420b16fad905e2f3c3ea6be5ccd092544b658604cb9954446b0	90	semantic-boundary-or-consumer	0
Grass/Platform/Win32/CallRuntime.lean	main,certificate,frontend,lowering,windows,process	ed25fb4c558f32a6de94eedb8050f3f03f75f425fa3ab0beabdca20ed988ae1f	76	semantic-boundary-or-consumer	0
Grass/Platform/Win32/Console.lean	main,certificate,frontend,lowering,windows,process	669467bd30f54915e6d53b8fa03303c32b7ae4273b8235b0fdafb128d55a5830	411	text-match	11
Grass/Platform/Win32/ConsoleEnvironment.lean	main,certificate,frontend,lowering,windows,process	1c9296c8468e65f3dd427d1442028b2bd7800fc56aacb5f87b67e31b60fc47ab	146	semantic-boundary-or-consumer	0
Grass/Platform/Win32/CpuPolicy.lean	main,certificate,frontend,lowering,windows,process	5f35b68daaec7ffc3a60a70fe81fc832dffbe8b9206499d0f3de44d1b31574a2	112	semantic-boundary-or-consumer	0
Grass/Platform/Win32/CpuVocabulary.lean	main,certificate,frontend,lowering,windows,process	a264c4dc0e4796dbfbcca67073d8739e324b973872b6eca6f7323fd17c846eca	70	semantic-boundary-or-consumer	0
Grass/Platform/Win32/EvaluatedCall.lean	main,certificate,frontend,lowering,windows,process	ac0b9cca228a1393e8452b8b27fc6150c73d8a591c7395add7f66e7cce6e307d	28	semantic-boundary-or-consumer	0
Grass/Platform/Win32/ExecutionState.lean	main,certificate,frontend,lowering,windows,process	8b6e4d5942ca0307f572a71c714d474fe37c6ff6ca93c2c8265f4990efd7b3e1	114	semantic-boundary-or-consumer	0
